customerID,tenure,MonthlyCharges,TotalCharges,Churn,TotalCharges_numeric,TotalCharges_log,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0557-ASKVU,0.25,0.3597014925373134,957.1,0,957.1,0.6376432341096274,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
5698-BQJOH,0.125,0.7577114427860697,857.25,1,857.25,0.6195529950519378,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
5122-CYFXA,0.041666666666666664,0.5676616915422885,244.1,0,244.1,0.4135572695788215,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
8627-ZYGSZ,0.6527777777777778,0.6034825870646766,3650.35,0,3650.35,0.8575564880664821,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3410-YOQBQ,0.4305555555555555,0.6064676616915423,2497.2,0,2497.2,0.7951729765687028,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
3170-NMYVV,0.6944444444444444,0.018905472636815884,930.9,0,930.9,0.6330857514215615,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
7410-OIEDU,0.1388888888888889,0.6129353233830845,887.35,0,887.35,0.6252189583704366,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2273-QCKXA,0.013888888888888888,0.30646766169154227,49.05,0,49.05,0.15242878313808034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0731-EBJQB,0.7222222222222222,0.021393034825870627,1090.65,0,1090.65,0.6590926953524343,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1891-QRQSA,0.8888888888888888,0.9288557213930347,7099,0,7099.0,0.9668634808379946,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0
8028-PNXHQ,0.861111111111111,0.05970149253731341,1424.6,0,1424.6,0.7029639755464425,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
5630-AHZIL,0.041666666666666664,0.46019900497512434,177.4,0,177.4,0.36134647861898556,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2673-CXQEU,0.7777777777777777,0.917910447761194,6139.5,0,6139.5,0.9429985446843425,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0
6416-JNVRK,0.6388888888888888,0.37213930348258706,2688.85,0,2688.85,0.8073225227057195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
5590-ZSKRV,0.1111111111111111,0.3621890547263681,482.25,0,482.25,0.5251441023236685,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0191-ZHSKZ,0.41666666666666663,0.5621890547263682,2111.3,0,2111.3,0.7675925012136438,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
3887-PBQAO,0.625,0.07611940298507458,1216.6,0,1216.6,0.6770406985370092,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
5919-TMRGD,0.013888888888888888,0.607960199004975,79.35,1,79.35,0.23023746801403439,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
8108-UXRQN,0.15277777777777776,0.32139303482587056,565.35,0,565.35,0.5512263391698133,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
9191-MYQKX,0.09722222222222221,0.5661691542288557,496.9,1,496.9,0.5300530930746483,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9919-YLNNG,0.5833333333333333,0.8512437810945274,4327.5,0,4327.5,0.8855201190716022,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0318-ZOPWS,0.6805555555555555,0.018905472636815884,973.35,0,973.35,0.6404077115833839,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
4445-ZJNMU,0.125,0.8064676616915423,918.75,0,918.75,0.6309285965272593,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
4808-YNLEU,0.4861111111111111,0.43681592039800987,2215.45,0,2215.45,0.7755036274097931,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1862-QRWPE,0.6666666666666666,0.023880597014925342,1057,0,1057.0,0.6539462127453601,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
2796-NNUFI,0.6388888888888888,0.01691542288557213,927.1,0,927.1,0.6324141231396418,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1
3016-KSVCP,0.40277777777777773,0.154228855721393,1009.25,0,1009.25,0.646355103492487,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4767-HZZHQ,0.41666666666666663,0.6348258706467661,2570.2,0,2570.2,0.7999072576647306,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2424-WVHPL,0.013888888888888888,0.5616915422885572,74.7,0,74.7,0.22043860944341748,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7233-PAHHL,0.9166666666666666,0.654228855721393,5714.25,0,5714.25,0.9312018765661201,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
6067-NGCEU,0.9027777777777777,0.9233830845771144,7107,0,7107.0,0.9670485844117171,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
9848-JQJTX,1.0,0.8223880597014926,7459.05,0,7459.05,0.9749945230534709,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0
8637-XJIVR,0.16666666666666666,0.6039800995024875,927.35,1,927.35,0.6324583936443926,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9803-FTJCG,0.986111111111111,0.4835820895522387,4748.7,0,4748.7,0.900783764085334,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
0278-YXOOG,0.06944444444444445,0.027860696517412936,113.85,1,113.85,0.28895685694892487,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
3212-KXOCR,0.7222222222222222,0.027363184079601977,1107.2,0,1107.2,0.661565961437286,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
4598-XLKNJ,0.3472222222222222,0.7985074626865671,2514.5,1,2514.5,0.79630732689928,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
6380-ARCEH,0.013888888888888888,0.019402985074626844,20.2,0,20.2,0.011229767771486487,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
3679-XASPY,0.013888888888888888,0.011940298507462671,19.45,0,19.45,0.005309369478562087,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
7123-WQUHX,0.5277777777777778,0.763681592039801,3605.6,0,3605.6,0.8555295415467847,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
5386-THSLQ,0.9166666666666666,0.2716417910447761,3027.25,0,3027.25,0.8268005115536796,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3192-NQECA,0.9444444444444444,0.9129353233830845,7611.85,1,7611.85,0.9783272453974974,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
6180-YBIQI,0.06944444444444445,0.06019900497512437,100.2,0,100.2,0.26815917376989234,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6728-DKUCO,1.0,0.854726368159204,7303.05,0,7303.05,0.9715208295030631,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
9750-BOOHV,0.4444444444444444,0.11840796019900496,927.65,0,927.65,0.6325115025159675,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8597-CWYHH,0.5972222222222222,0.7572139303482587,3921.3,0,3921.3,0.8693224388405432,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
2848-YXSMW,1.0,0.011442786069651711,1363.25,0,1363.25,0.6957335900534731,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0486-HECZI,0.7638888888888888,0.7810945273631841,5238.9,1,5238.9,0.9169285347565055,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
4549-ZDQYY,0.7222222222222222,0.3950248756218906,3042.25,0,3042.25,0.8276126944929181,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
5712-AHQNN,0.5972222222222222,0.7303482587064677,3954.1,0,3954.1,0.8706912740698576,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
4846-WHAFZ,0.5138888888888888,0.5796019900497512,2868.15,1,2868.15,0.8179295089207252,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
5256-SKJGO,0.8888888888888888,0.36169154228855727,3423.5,0,3423.5,0.8470134264521825,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
3071-VBYPO,0.041666666666666664,0.7124378109452736,248.4,0,248.4,0.4164159843482665,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9560-BBZXK,0.5,0.127363184079602,1126.35,0,1126.35,0.6643820916551955,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5299-RULOA,0.1388888888888889,0.8159203980099502,1064.65,1,1064.65,0.6551304482862821,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
8402-OOOHJ,0.5694444444444444,0.023880597014925342,835.15,0,835.15,0.6152649565212267,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
9445-ZUEQE,0.375,0.6661691542288557,2151.6,0,2151.6,0.7706989688890453,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1091-SOZGA,0.7777777777777777,0.8114427860696517,5515.45,0,5515.45,0.9253825334657839,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0
2928-HLDBA,0.08333333333333333,0.024378109452736302,112.75,0,112.75,0.28737496239747523,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0404-SWRVG,0.041666666666666664,0.5587064676616916,229.55,1,229.55,0.403497947183362,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6497-TILVL,0.09722222222222221,0.32288557213930347,350.35,0,350.35,0.4727503374232633,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7219-TLZHO,0.05555555555555555,0.025870646766169153,62.9,0,62.9,0.19258433516448675,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
4622-YNKIJ,0.4583333333333333,0.7034825870646766,3027.65,0,3027.65,0.8268222219278092,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
4412-YLTKF,0.375,0.5950248756218905,2135.5,1,2135.5,0.7694649566614569,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
6734-PSBAW,1.0,0.0527363184079602,1723.95,0,1723.95,0.7342941393832902,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
3930-ZGWVE,0.013888888888888888,0.014925373134328346,19.75,0,19.75,0.007703178137445643,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
2639-UGMAZ,0.986111111111111,0.3800995024875622,3985.35,0,3985.35,0.8719849043618282,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
2876-GZYZC,0.18055555555555555,0.6736318407960199,1215.65,0,1215.65,0.6769124016355261,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
6207-WIOLX,0.3472222222222222,0.4014925373134328,1502.65,1,1502.65,0.7117254459165814,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
